Rank,Title,Score,Rating_Users,Type,Episodes,Duration,Source,Aired,Genres,Watching,Completed,On_Hold,Dropped,Plan_to_Watch,Season_Number
1,Sousou no Frieren,9.3,0,,28,24 min. per ep.,,"Sep 29, 2023 to Mar 22, 2024","Adventure, Drama, Fantasy, Shounen",0,0,0,0,0,1
2,Fullmetal Alchemist: Brotherhood,9.1,0,,64,24 min. per ep.,,"Apr 5, 2009 to Jul 4, 2010","Action, Adventure, Drama, Fantasy, Military, Shounen",0,0,0,0,0,1
3,Steins;Gate,9.07,0,,24,24 min. per ep.,Visual novel,"Apr 6, 2011 to Sep 14, 2011","Drama, Sci-Fi, Suspense, Psychological, Time Travel",0,0,0,0,0,1
4,Shingeki no Kyojin Season 3 Part 2,9.05,0,,10,23 min. per ep.,,"Apr 29, 2019 to Jul 1, 2019","Action, Drama, Suspense, Gore, Military, Survival, Shounen",0,0,0,0,0,1
5,One Piece Fan Letter,9.05,0,,1,24 min.,,"Oct 20, 2024","Action, Adventure, Fantasy, Shounen",0,0,0,0,0,1
6,Gintama°,9.05,0,,51,24 min. per ep.,,"Apr 8, 2015 to Mar 30, 2016","Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",0,0,0,0,0,1
7,Gintama: The Final,9.04,0,,1,1 hr. 44 min.,,"Jan 8, 2021","Action, Comedy, Drama, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",0,0,0,0,0,1
8,Hunter x Hunter (2011),9.03,0,,148,23 min. per ep.,,"Oct 2, 2011 to Sep 24, 2014","Action, Adventure, Fantasy, Shounen",0,0,0,0,0,1
9,Gintama',9.02,0,,51,24 min. per ep.,,"Apr 4, 2011 to Mar 26, 2012","Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",0,0,0,0,0,1
10,Gintama': Enchousen,9.02,0,,13,24 min. per ep.,,"Oct 4, 2012 to Mar 28, 2013","Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",0,0,0,0,0,1
11,Ginga Eiyuu Densetsu,9.01,0,,110,26 min. per ep.,Novel,"Jan 8, 1988 to Mar 17, 1997","Drama, Sci-Fi, Adult Cast, Military, Space",0,0,0,0,0,1
12,Bleach: Sennen Kessen-hen,9.0,0,,13,24 min. per ep.,,"Oct 11, 2022 to Dec 27, 2022","Action, Adventure, Supernatural, Shounen",0,0,0,0,0,1
13,Gintama.,8.98,0,,12,24 min. per ep.,,"Jan 9, 2017 to Mar 27, 2017","Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",0,0,0,0,0,1
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.98,0,,13,23 min. per ep.,,"Apr 9, 2022 to Jun 25, 2022","Comedy, Romance, School, Seinen",0,0,0,0,0,1
15,Fruits Basket: The Final,8.95,0,,13,23 min. per ep.,,"Apr 6, 2021 to Jun 29, 2021","Drama, Romance, Supernatural, Shoujo",0,0,0,0,0,1
16,Clannad: After Story,8.93,0,,24,24 min. per ep.,Visual novel,"Oct 3, 2008 to Mar 27, 2009","Drama, Romance",0,0,0,0,0,1
17,Gintama,8.93,0,,201,24 min. per ep.,,"Apr 4, 2006 to Mar 25, 2010","Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",0,0,0,0,0,1
18,Koe no Katachi,8.93,0,,1,2 hr. 10 min.,,"Sep 17, 2016","Award Winning, Drama, Shounen",0,0,0,0,0,1
19,3-gatsu no Lion 2nd Season,8.91,0,,22,25 min. per ep.,,"Oct 14, 2017 to Mar 31, 2018","Drama, Childcare, Strategy Game, Seinen",0,0,0,0,0,1
20,Code Geass: Hangyaku no Lelouch R2,8.91,0,,25,24 min. per ep.,Original,"Apr 6, 2008 to Sep 28, 2008","Action, Award Winning, Drama, Sci-Fi, Mecha, Military, Super Power",0,0,0,0,0,1
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.9,0,,1,1 hr. 50 min.,,"Jul 6, 2013","Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Time Travel, Shounen",0,0,0,0,0,1
22,Monster,8.89,0,,74,24 min. per ep.,,"Apr 7, 2004 to Sep 28, 2005","Drama, Mystery, Suspense, Adult Cast, Psychological, Seinen",0,0,0,0,0,1
23,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,0,,14,24 min. per ep.,,"Jul 9, 2018 to Oct 8, 2018","Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",0,0,0,0,0,1
24,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,0,,2,1 hr. 12 min. per ep.,,"Mar 4, 2023 to Nov 5, 2023","Action, Drama, Suspense, Gore, Military, Survival, Shounen",0,0,0,0,0,1
25,Kusuriya no Hitorigoto,8.87,0,,24,22 min. per ep.,,"Oct 22, 2023 to Mar 24, 2024","Drama, Mystery, Historical, Medical",0,0,0,0,0,1
26,Owarimonogatari 2nd Season,8.86,0,,7,22 min. per ep.,,"Aug 12, 2017 to Aug 13, 2017","Comedy, Mystery, Supernatural, Vampire",0,0,0,0,0,1
27,Violet Evergarden Movie,8.85,0,,1,2 hr. 20 min.,,"Sep 18, 2020","Award Winning, Drama",0,0,0,0,0,1
28,Kusuriya no Hitorigoto 2nd Season,8.84,0,,24,24 min. per ep.,,"Jan 10, 2025 to ?","Drama, Mystery, Historical, Medical",0,0,0,0,0,1
29,Kimi no Na wa.,8.83,0,,1,1 hr. 46 min.,Original,"Aug 26, 2016","Award Winning, Drama",0,0,0,0,0,1
30,Kingdom 3rd Season,8.83,0,,26,25 min. per ep.,,"Apr 6, 2020 to Oct 17, 2021","Action, Historical, Military, Seinen",0,0,0,0,0,1
31,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.82,0,,1,2 hr. 24 min.,,"Nov 8, 2024","Action, Drama, Suspense, Gore, Military, Survival, Shounen",0,0,0,0,0,1
32,Vinland Saga Season 2,8.81,0,,24,25 min. per ep.,,"Jan 10, 2023 to Jun 20, 2023","Action, Adventure, Drama, Gore, Historical, Seinen",0,0,0,0,0,1
33,Gintama. Shirogane no Tamashii-hen,8.81,0,,12,24 min. per ep.,,"Jan 8, 2018 to Mar 26, 2018","Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",0,0,0,0,0,1
34,Hajime no Ippo,8.78,0,,75,23 min. per ep.,,"Oct 4, 2000 to Mar 27, 2002","Sports, Combat Sports, Shounen",0,0,0,0,0,1
35,Shingeki no Kyojin: The Final Season,8.78,0,,16,23 min. per ep.,,"Dec 7, 2020 to Mar 29, 2021","Action, Drama, Suspense, Gore, Military, Survival, Shounen",0,0,0,0,0,1
36,Kizumonogatari III: Reiketsu-hen,8.78,0,,1,1 hr. 23 min.,,"Jan 6, 2017","Action, Mystery, Supernatural, Vampire",0,0,0,0,0,1
37,Mob Psycho 100 II,8.78,0,,13,24 min. per ep.,,"Jan 7, 2019 to Apr 1, 2019","Action, Comedy, Supernatural",0,0,0,0,0,1
38,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,0,,10,24 min. per ep.,,"Oct 8, 2016 to Dec 10, 2016","Sports, School, Team Sports, Shounen",0,0,0,0,0,1
39,Sen to Chihiro no Kamikakushi,8.77,0,,1,2 hr. 4 min.,Original,"Jul 20, 2001","Adventure, Award Winning, Fantasy, Mythology",0,0,0,0,0,1
40,Vinland Saga,8.77,0,,24,24 min. per ep.,,"Jul 8, 2019 to Dec 30, 2019","Action, Adventure, Drama, Gore, Historical, Seinen",0,0,0,0,0,1
41,Shingeki no Kyojin: The Final Season Part 2,8.76,0,,12,23 min. per ep.,,"Jan 10, 2022 to Apr 4, 2022","Action, Drama, Suspense, Gore, Military, Survival, Shounen",0,0,0,0,0,1
42,Monogatari Series: Second Season,8.76,0,,26,25 min. per ep.,,"Jul 7, 2013 to Dec 29, 2013","Comedy, Mystery, Romance, Supernatural, Vampire",0,0,0,0,0,1
43,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.76,0,,13,23 min. per ep.,,"Jan 5, 2025 to Mar 30, 2025","Action, Adventure, Fantasy, Adult Cast, Urban Fantasy",0,0,0,0,0,1
44,Jujutsu Kaisen 2nd Season,8.75,0,,23,23 min. per ep.,,"Jul 6, 2023 to Dec 28, 2023","Action, Supernatural, Gore, School, Shounen",0,0,0,0,0,1
45,Bocchi the Rock!,8.75,0,,12,23 min. per ep.,,"Oct 9, 2022 to Dec 25, 2022","Comedy, CGDCT, Music",0,0,0,0,0,1
46,Boku no Kokoro no Yabai Yatsu 2nd Season,8.75,0,,13,23 min. per ep.,,"Jan 7, 2024 to Mar 31, 2024","Comedy, Romance, School, Shounen",0,0,0,0,0,1
47,Cowboy Bebop,8.75,0,,26,24 min. per ep.,Original,"Apr 3, 1998 to Apr 24, 1999","Action, Award Winning, Sci-Fi, Adult Cast, Space",0,0,0,0,0,1
48,Ashita no Joe 2,8.74,0,,47,24 min. per ep.,,"Oct 13, 1980 to Aug 31, 1981","Drama, Sports, Combat Sports, Shounen",0,0,0,0,0,1
49,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.74,0,,1,1 hr. 36 min.,,"Dec 17, 2022","Comedy, Drama, Romance, School, Seinen",0,0,0,0,0,1
50,Kingdom 4th Season,8.73,0,,26,24 min. per ep.,,"Apr 10, 2022 to Oct 2, 2022","Action, Historical, Military, Seinen",0,0,0,0,0,1
51,One Piece,8.73,0,,Unknown,24 min.,,"Oct 20, 1999 to ?","Action, Adventure, Fantasy, Shounen",0,0,0,0,0,1
52,The First Slam Dunk,8.73,0,,1,2 hr. 4 min.,,"Dec 3, 2022","Award Winning, Sports, School, Team Sports, Shounen",0,0,0,0,0,1
53,Shiguang Dailiren,8.72,0,,11,23 min. per ep.,Original,"Apr 30, 2021 to Jul 9, 2021","Drama, Mystery, Suspense, Adult Cast, Super Power, Time Travel",0,0,0,0,0,1
54,Kimetsu no Yaiba: Yuukaku-hen,8.72,0,,11,26 min. per ep.,,"Dec 5, 2021 to Feb 13, 2022","Action, Supernatural, Historical, Shounen",0,0,0,0,0,1
55,Kingdom 5th Season,8.72,0,,13,24 min. per ep.,,"Jan 14, 2024 to Mar 31, 2024","Action, Historical, Military, Seinen",0,0,0,0,0,1
56,Mushishi Zoku Shou 2nd Season,8.72,0,,10,23 min. per ep.,,"Oct 19, 2014 to Dec 21, 2014","Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",0,0,0,0,0,1
57,Hibike! Euphonium 3,8.72,0,,13,24 min. per ep.,Novel,"Apr 7, 2024 to Jun 30, 2024","Drama, Music, School",0,0,0,0,0,1
58,86 Part 2,8.71,0,,12,23 min. per ep.,,"Oct 3, 2021 to Mar 19, 2022","Action, Drama, Sci-Fi, Mecha, Military",0,0,0,0,0,1
59,Chi. Chikyuu no Undou ni Tsuite,8.71,0,,25,25 min. per ep.,,"Oct 5, 2024 to Mar 15, 2025","Drama, Historical, Seinen",0,0,0,0,0,1
60,Mob Psycho 100 III,8.71,0,,12,23 min. per ep.,,"Oct 6, 2022 to Dec 22, 2022","Action, Comedy, Supernatural",0,0,0,0,0,1
61,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.7,0,,4,29 min. per ep.,,"Feb 20, 1999 to Sep 22, 1999","Action, Drama, Romance, Adult Cast, Historical, Samurai, Shounen",0,0,0,0,0,1
62,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.7,0,,12,24 min. per ep.,,"Jan 7, 2017 to Mar 25, 2017","Drama, Adult Cast, Historical, Love Polygon, Performing Arts, Josei",0,0,0,0,0,1
63,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.7,0,,13,24 min. per ep.,,"Jul 8, 2023 to Sep 30, 2023","Action, Adventure, Supernatural, Shounen",0,0,0,0,0,1
64,Code Geass: Hangyaku no Lelouch,8.7,0,,25,24 min. per ep.,Original,"Oct 6, 2006 to Jul 29, 2007","Action, Award Winning, Drama, Sci-Fi, Mecha, Military, School, Super Power",0,0,0,0,0,1
65,Mushishi Zoku Shou,8.69,0,,10,24 min. per ep.,,"Apr 5, 2014 to Jun 21, 2014","Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",0,0,0,0,0,1
66,Mo Dao Zu Shi: Wanjie Pian,8.68,0,,12,24 min. per ep.,Web novel,"Aug 7, 2021 to Oct 16, 2021","Action, Adventure, Drama, Fantasy, Mystery, Historical, Mythology, Reincarnation",0,0,0,0,0,1
67,Great Teacher Onizuka,8.68,0,,43,25 min. per ep.,,"Jun 30, 1999 to Sep 17, 2000","Comedy, Delinquents, School, Workplace, Shounen",0,0,0,0,0,1
68,Violet Evergarden,8.68,0,,13,24 min. per ep.,,"Jan 11, 2018 to Apr 5, 2018",Drama,0,0,0,0,0,1
69,Monogatari Series: Off & Monster Season,8.67,0,,14,25 min. per ep.,,"Jul 6, 2024 to Oct 19, 2024","Comedy, Mystery, Supernatural, Vampire",0,0,0,0,0,1
70,Bleach: Sennen Kessen-hen - Soukoku-tan,8.67,0,,14,24 min. per ep.,,"Oct 5, 2024 to Dec 28, 2024","Action, Adventure, Supernatural, Shounen",0,0,0,0,0,1
71,Hajime no Ippo: New Challenger,8.67,0,,26,23 min. per ep.,,"Jan 7, 2009 to Jul 1, 2009","Sports, Combat Sports, Shounen",0,0,0,0,0,1
72,Howl no Ugoku Shiro,8.67,0,,1,1 hr. 59 min.,Novel,"Nov 20, 2004","Adventure, Award Winning, Drama, Fantasy, Romance",0,0,0,0,0,1
73,Tian Guan Cifu Er,8.66,0,,12,24 min. per ep.,Web novel,"Oct 18, 2023 to Jan 17, 2024","Action, Adventure, Drama, Fantasy, Historical, Mythology",0,0,0,0,0,1
74,Mononoke Hime,8.66,0,,1,2 hr. 13 min.,Original,"Jul 12, 1997","Action, Adventure, Award Winning, Fantasy",0,0,0,0,0,1
75,Look Back,8.65,0,,1,57 min.,,"Jun 28, 2024","Drama, Otaku Culture, Shounen",0,0,0,0,0,1
